Rule ID,Resource ID,Compliance,Exception Reason,Rule Level,Rule Info
"AwsSolutions-IAM4","MemberRoleStack/OrchestratorMemberRole/MemberAccountRole/Resource","Compliant","N/A","Error","The IAM user, role, or group uses AWS managed policies."
"AwsSolutions-IAM5","MemberRoleStack/OrchestratorMemberRole/MemberAccountRole/Resource","Suppressed","Resource and action wildcards are needed to remediate findings on arbitrary resources","Error","The IAM entity contains wildcard permissions and does not have a cdk_nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","MemberRoleStack/OrchestratorMemberRole/MemberAccountRole/Resource","Suppressed","Resource and action wildcards are needed to remediate findings on arbitrary resources","Error","The IAM entity contains wildcard permissions and does not have a cdk_nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","MemberRoleStack/OrchestratorMemberRole/MemberAccountRole/Resource","Suppressed","Resource and action wildcards are needed to remediate findings on arbitrary resources","Error","The IAM entity contains wildcard permissions and does not have a cdk_nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","MemberRoleStack/OrchestratorMemberRole/MemberAccountRole/Resource","Suppressed","Resource and action wildcards are needed to remediate findings on arbitrary resources","Error","The IAM entity contains wildcard permissions and does not have a cdk_nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","MemberRoleStack/OrchestratorMemberRole/MemberAccountRole/Resource","Suppressed","Resource and action wildcards are needed to remediate findings on arbitrary resources","Error","The IAM entity contains wildcard permissions and does not have a cdk_nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","MemberRoleStack/OrchestratorMemberRole/MemberAccountRole/Resource","Suppressed","Resource and action wildcards are needed to remediate findings on arbitrary resources","Error","The IAM entity contains wildcard permissions and does not have a cdk_nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","MemberRoleStack/OrchestratorMemberRole/MemberAccountRole/Resource","Suppressed","Resource and action wildcards are needed to remediate findings on arbitrary resources","Error","The IAM entity contains wildcard permissions and does not have a cdk_nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","MemberRoleStack/OrchestratorMemberRole/MemberAccountRole/Resource","Suppressed","Resource and action wildcards are needed to remediate findings on arbitrary resources","Error","The IAM entity contains wildcard permissions and does not have a cdk_nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","MemberRoleStack/SHARR-Remediation-Policy-CreateCloudTrailMultiRegionTrail/Resource","Suppressed","Resource and action wildcards are needed to remediate findings on arbitrary resources","Error","The IAM entity contains wildcard permissions and does not have a cdk_nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","MemberRoleStack/SHARR-Remediation-Policy-CreateCloudTrailMultiRegionTrail/Resource","Suppressed","Resource and action wildcards are needed to remediate findings on arbitrary resources","Error","The IAM entity contains wildcard permissions and does not have a cdk_nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","MemberRoleStack/RemediationRole CreateCloudTrailMultiRegionTrail/SHARR-Member-Base-Policy/Resource","Suppressed","Resource and action wildcards are needed to remediate findings on arbitrary resources","Error","The IAM entity contains wildcard permissions and does not have a cdk_nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","MemberRoleStack/RemediationRole CreateCloudTrailMultiRegionTrail/SHARR-Member-Base-Policy/Resource","Suppressed","Resource and action wildcards are needed to remediate findings on arbitrary resources","Error","The IAM entity contains wildcard permissions and does not have a cdk_nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","MemberRoleStack/RemediationRole CreateCloudTrailMultiRegionTrail/SHARR-Member-Base-Policy/Resource","Suppressed","Resource and action wildcards are needed to remediate findings on arbitrary resources","Error","The IAM entity contains wildcard permissions and does not have a cdk_nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","MemberRoleStack/RemediationRole CreateCloudTrailMultiRegionTrail/SHARR-Member-Base-Policy/Resource","Suppressed","Resource and action wildcards are needed to remediate findings on arbitrary resources","Error","The IAM entity contains wildcard permissions and does not have a cdk_nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","MemberRoleStack/RemediationRole CreateCloudTrailMultiRegionTrail/SHARR-Member-Base-Policy/Resource","Suppressed","Resource and action wildcards are needed to remediate findings on arbitrary resources","Error","The IAM entity contains wildcard permissions and does not have a cdk_nag rule suppression with evidence for those permission."
"AwsSolutions-IAM4","MemberRoleStack/RemediationRole CreateCloudTrailMultiRegionTrail/MemberAccountRole/Resource","Compliant","N/A","Error","The IAM user, role, or group uses AWS managed policies."
"AwsSolutions-IAM5","MemberRoleStack/RemediationRole CreateCloudTrailMultiRegionTrail/MemberAccountRole/Resource","Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk_nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","MemberRoleStack/SHARR-Remediation-Policy-CreateLogMetricFilterAndAlarm/Resource","Suppressed","Resource and action wildcards are needed to remediate findings on arbitrary resources","Error","The IAM entity contains wildcard permissions and does not have a cdk_nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","MemberRoleStack/SHARR-Remediation-Policy-CreateLogMetricFilterAndAlarm/Resource","Suppressed","Resource and action wildcards are needed to remediate findings on arbitrary resources","Error","The IAM entity contains wildcard permissions and does not have a cdk_nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","MemberRoleStack/SHARR-Remediation-Policy-CreateLogMetricFilterAndAlarm/Resource","Suppressed","Resource and action wildcards are needed to remediate findings on arbitrary resources","Error","The IAM entity contains wildcard permissions and does not have a cdk_nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","MemberRoleStack/RemediationRole CreateLogMetricFilterAndAlarm/SHARR-Member-Base-Policy/Resource","Suppressed","Resource and action wildcards are needed to remediate findings on arbitrary resources","Error","The IAM entity contains wildcard permissions and does not have a cdk_nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","MemberRoleStack/RemediationRole CreateLogMetricFilterAndAlarm/SHARR-Member-Base-Policy/Resource","Suppressed","Resource and action wildcards are needed to remediate findings on arbitrary resources","Error","The IAM entity contains wildcard permissions and does not have a cdk_nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","MemberRoleStack/RemediationRole CreateLogMetricFilterAndAlarm/SHARR-Member-Base-Policy/Resource","Suppressed","Resource and action wildcards are needed to remediate findings on arbitrary resources","Error","The IAM entity contains wildcard permissions and does not have a cdk_nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","MemberRoleStack/RemediationRole CreateLogMetricFilterAndAlarm/SHARR-Member-Base-Policy/Resource","Suppressed","Resource and action wildcards are needed to remediate findings on arbitrary resources","Error","The IAM entity contains wildcard permissions and does not have a cdk_nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","MemberRoleStack/RemediationRole CreateLogMetricFilterAndAlarm/SHARR-Member-Base-Policy/Resource","Suppressed","Resource and action wildcards are needed to remediate findings on arbitrary resources","Error","The IAM entity contains wildcard permissions and does not have a cdk_nag rule suppression with evidence for those permission."
"AwsSolutions-IAM4","MemberRoleStack/RemediationRole CreateLogMetricFilterAndAlarm/MemberAccountRole/Resource","Compliant","N/A","Error","The IAM user, role, or group uses AWS managed policies."
"AwsSolutions-IAM5","MemberRoleStack/RemediationRole CreateLogMetricFilterAndAlarm/MemberAccountRole/Resource","Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk_nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","MemberRoleStack/SHARR-Remediation-Policy-EnableAutoScalingGroupELBHealthCheck/Resource","Suppressed","Resource and action wildcards are needed to remediate findings on arbitrary resources","Error","The IAM entity contains wildcard permissions and does not have a cdk_nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","MemberRoleStack/RemediationRole EnableAutoScalingGroupELBHealthCheck/SHARR-Member-Base-Policy/Resource","Suppressed","Resource and action wildcards are needed to remediate findings on arbitrary resources","Error","The IAM entity contains wildcard permissions and does not have a cdk_nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","MemberRoleStack/RemediationRole EnableAutoScalingGroupELBHealthCheck/SHARR-Member-Base-Policy/Resource","Suppressed","Resource and action wildcards are needed to remediate findings on arbitrary resources","Error","The IAM entity contains wildcard permissions and does not have a cdk_nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","MemberRoleStack/RemediationRole EnableAutoScalingGroupELBHealthCheck/SHARR-Member-Base-Policy/Resource","Suppressed","Resource and action wildcards are needed to remediate findings on arbitrary resources","Error","The IAM entity contains wildcard permissions and does not have a cdk_nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","MemberRoleStack/RemediationRole EnableAutoScalingGroupELBHealthCheck/SHARR-Member-Base-Policy/Resource","Suppressed","Resource and action wildcards are needed to remediate findings on arbitrary resources","Error","The IAM entity contains wildcard permissions and does not have a cdk_nag rule suppression with evidence for those permission."
